"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2013Q1","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Administrative and support service activities (N)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Public administration and defence; compulsory social security (O)","All employees","Euro","940.82"
"Average Weekly Earnings","2013Q1","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Education (P)","All employees","Euro","814.12"
"Average Weekly Earnings","2013Q1","Education (P)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Education (P)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Education (P)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Human health and social work activities (Q)","All employees","Euro","688.9"
"Average Weekly Earnings","2013Q1","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Human health and social work activities (Q)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Arts, entertainment and recreation (R)","All employees","Euro","496.8"
"Average Weekly Earnings","2013Q1","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Other service activities (S)","All employees","Euro","472.8"
"Average Weekly Earnings","2013Q1","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Industry (B to E)","All employees","Euro","820.35"
"Average Weekly Earnings","2013Q1","Industry (B to E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Industry (B to E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Industry (B to E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Electricity, water supply and waste management (D,E)","All employees","Euro","1042.53"
"Average Weekly Earnings","2013Q1","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Financial, insurance and real estate activities (K,L)","All employees","Euro","1055.23"
"Average Weekly Earnings","2013Q1","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","484.95"
"Average Weekly Earnings","2013Q1","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q2","All NACE economic sectors","All employees","Euro","695.65"
"Average Weekly Earnings","2013Q2","All NACE economic sectors","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q2","All NACE economic sectors","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q2","All NACE economic sectors","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q2","Mining and quarrying (B)","All employees","Euro","949.79"
"Average Weekly Earnings","2013Q2","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q2","Mining and quarrying (B)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q2","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q2","Manufacturing (C)","All employees","Euro","781.94"
"Average Weekly Earnings","2013Q2","Manufacturing (C)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q2","Manufacturing (C)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q2","Manufacturing (C)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q2","Construction (F)","All employees","Euro","698.28"
"Average Weekly Earnings","2013Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","All employees","Euro","531.36"
"Average Weekly Earnings","2013Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q2","Transportation and storage (H)","All employees","Euro","739.03"
"Average Weekly Earnings","2013Q2","Transportation and storage (H)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q2","Transportation and storage (H)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q2","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q2","Accommodation and food service activities (I)","All employees","Euro","307.9"
"Average Weekly Earnings","2013Q2","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q2","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q2","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro",""
