"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2008Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Managers, professionals and associated professionals","Euro","990.29"
"Average Weekly Earnings","2008Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Clerical, sales and service employees","Euro","399.21"
"Average Weekly Earnings","2008Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Production, transport, craft and other manual workers","Euro","453.11"
"Average Weekly Earnings","2008Q3","Transportation and storage (H)","All employees","Euro","759.89"
"Average Weekly Earnings","2008Q3","Transportation and storage (H)","Managers, professionals and associated professionals","Euro","1347.17"
"Average Weekly Earnings","2008Q3","Transportation and storage (H)","Clerical, sales and service employees","Euro","677.81"
"Average Weekly Earnings","2008Q3","Transportation and storage (H)","Production, transport, craft and other manual workers","Euro","682.39"
"Average Weekly Earnings","2008Q3","Accommodation and food service activities (I)","All employees","Euro","350.46"
"Average Weekly Earnings","2008Q3","Accommodation and food service activities (I)","Managers, professionals and associated professionals","Euro","686.59"
"Average Weekly Earnings","2008Q3","Accommodation and food service activities (I)","Clerical, sales and service employees","Euro","312.42"
"Average Weekly Earnings","2008Q3","Accommodation and food service activities (I)","Production, transport, craft and other manual workers","Euro","306.7"
"Average Weekly Earnings","2008Q3","Information and communication (J)","All employees","Euro","976.99"
"Average Weekly Earnings","2008Q3","Information and communication (J)","Managers, professionals and associated professionals","Euro","1273.78"
"Average Weekly Earnings","2008Q3","Information and communication (J)","Clerical, sales and service employees","Euro","678.63"
"Average Weekly Earnings","2008Q3","Information and communication (J)","Production, transport, craft and other manual workers","Euro","735.83"
"Average Weekly Earnings","2008Q3","Financial and insurance activities (K)","All employees","Euro","947.33"
"Average Weekly Earnings","2008Q3","Financial and insurance activities (K)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q3","Financial and insurance activities (K)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q3","Financial and insurance activities (K)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q3","Real estate activities (L)","All employees","Euro","729.1"
"Average Weekly Earnings","2008Q3","Real estate activities (L)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q3","Real estate activities (L)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q3","Real estate activities (L)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q3","Professional, scientific and technical activities (M)","All employees","Euro","799"
"Average Weekly Earnings","2008Q3","Professional, scientific and technical activities (M)","Managers, professionals and associated professionals","Euro","1075.87"
"Average Weekly Earnings","2008Q3","Professional, scientific and technical activities (M)","Clerical, sales and service employees","Euro","503.67"
"Average Weekly Earnings","2008Q3","Professional, scientific and technical activities (M)","Production, transport, craft and other manual workers","Euro","622.57"
"Average Weekly Earnings","2008Q3","Administrative and support service activities (N)","All employees","Euro","485.25"
"Average Weekly Earnings","2008Q3","Administrative and support service activities (N)","Managers, professionals and associated professionals","Euro","922.04"
"Average Weekly Earnings","2008Q3","Administrative and support service activities (N)","Clerical, sales and service employees","Euro","468.33"
"Average Weekly Earnings","2008Q3","Administrative and support service activities (N)","Production, transport, craft and other manual workers","Euro","366.92"
"Average Weekly Earnings","2008Q3","Public administration and defence; compulsory social security (O)","All employees","Euro","953.73"
"Average Weekly Earnings","2008Q3","Public administration and defence; compulsory social security (O)","Managers, professionals and associated professionals","Euro","1130.69"
"Average Weekly Earnings","2008Q3","Public administration and defence; compulsory social security (O)","Clerical, sales and service employees","Euro","850.56"
"Average Weekly Earnings","2008Q3","Public administration and defence; compulsory social security (O)","Production, transport, craft and other manual workers","Euro","686.47"
"Average Weekly Earnings","2008Q3","Education (P)","All employees","Euro","892.86"
"Average Weekly Earnings","2008Q3","Education (P)","Managers, professionals and associated professionals","Euro","1032.02"
"Average Weekly Earnings","2008Q3","Education (P)","Clerical, sales and service employees","Euro","491.08"
"Average Weekly Earnings","2008Q3","Education (P)","Production, transport, craft and other manual workers","Euro","405.55"
"Average Weekly Earnings","2008Q3","Human health and social work activities (Q)","All employees","Euro","726.5"
"Average Weekly Earnings","2008Q3","Human health and social work activities (Q)","Managers, professionals and associated professionals","Euro","1008.15"
"Average Weekly Earnings","2008Q3","Human health and social work activities (Q)","Clerical, sales and service employees","Euro","476.35"
"Average Weekly Earnings","2008Q3","Human health and social work activities (Q)","Production, transport, craft and other manual workers","Euro","453.27"
"Average Weekly Earnings","2008Q3","Arts, entertainment and recreation (R)","All employees","Euro","488.39"
"Average Weekly Earnings","2008Q3","Arts, entertainment and recreation (R)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q3","Arts, entertainment and recreation (R)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q3","Arts, entertainment and recreation (R)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q3","Other service activities (S)","All employees","Euro","531.05"
"Average Weekly Earnings","2008Q3","Other service activities (S)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2008Q3","Other service activities (S)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2008Q3","Other service activities (S)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2008Q3","Industry (B to E)","All employees","Euro","777.33"
"Average Weekly Earnings","2008Q3","Industry (B to E)","Managers, professionals and associated professionals","Euro","1163.22"
"Average Weekly Earnings","2008Q3","Industry (B to E)","Clerical, sales and service employees","Euro","738.98"
"Average Weekly Earnings","2008Q3","Industry (B to E)","Production, transport, craft and other manual workers","Euro","642.58"
"Average Weekly Earnings","2008Q3","Electricity, water supply and waste management (D,E)","All employees","Euro","1141.57"
"Average Weekly Earnings","2008Q3","Electricity, water supply and waste management (D,E)","Managers, professionals and associated professionals","Euro","1628.08"
"Average Weekly Earnings","2008Q3","Electricity, water supply and waste management (D,E)","Clerical, sales and service employees","Euro","924.62"
"Average Weekly Earnings","2008Q3","Electricity, water supply and waste management (D,E)","Production, transport, craft and other manual workers","Euro","1066.26"
"Average Weekly Earnings","2008Q3","Financial, insurance and real estate activities (K,L)","All employees","Euro","922.35"
"Average Weekly Earnings","2008Q3","Financial, insurance and real estate activities (K,L)","Managers, professionals and associated professionals","Euro","1262.26"
"Average Weekly Earnings","2008Q3","Financial, insurance and real estate activities (K,L)","Clerical, sales and service employees","Euro","613.77"
"Average Weekly Earnings","2008Q3","Financial, insurance and real estate activities (K,L)","Production, transport, craft and other manual workers","Euro","546.46"
"Average Weekly Earnings","2008Q3","Arts, entertainment, recreation and other service activities (R,S)","All employees","Euro","507.68"
"Average Weekly Earnings","2008Q3","Arts, entertainment, recreation and other service activities (R,S)","Managers, professionals and associated professionals","Euro","935.44"
"Average Weekly Earnings","2008Q3","Arts, entertainment, recreation and other service activities (R,S)","Clerical, sales and service employees","Euro","408.57"
"Average Weekly Earnings","2008Q3","Arts, entertainment, recreation and other service activities (R,S)","Production, transport, craft and other manual workers","Euro","396.55"
"Average Weekly Earnings","2008Q4","All NACE economic sectors","All employees","Euro","721.89"
"Average Weekly Earnings","2008Q4","All NACE economic sectors","Managers, professionals and associated professionals","Euro","1115.23"
"Average Weekly Earnings","2008Q4","All NACE economic sectors","Clerical, sales and service employees","Euro","510.21"
"Average Weekly Earnings","2008Q4","All NACE economic sectors","Production, transport, craft and other manual workers","Euro","574.35"
"Average Weekly Earnings","2008Q4","Mining and quarrying (B)","All employees","Euro","934.45"
"Average Weekly Earnings","2008Q4","Mining and quarrying (B)","Managers, professionals and associated professionals","Euro","1322.93"
"Average Weekly Earnings","2008Q4","Mining and quarrying (B)","Clerical, sales and service employees","Euro","748.57"
"Average Weekly Earnings","2008Q4","Mining and quarrying (B)","Production, transport, craft and other manual workers","Euro","871.88"
"Average Weekly Earnings","2008Q4","Manufacturing (C)","All employees","Euro","791.52"
"Average Weekly Earnings","2008Q4","Manufacturing (C)","Managers, professionals and associated professionals","Euro","1200.52"
"Average Weekly Earnings","2008Q4","Manufacturing (C)","Clerical, sales and service employees","Euro","752.6"
"Average Weekly Earnings","2008Q4","Manufacturing (C)","Production, transport, craft and other manual workers","Euro","641.61"
"Average Weekly Earnings","2008Q4","Construction (F)","All employees","Euro","788.96"
"Average Weekly Earnings","2008Q4","Construction (F)","Managers, professionals and associated professionals","Euro","1215.52"
